sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (C);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.3172;3.4141;8.7843;0.1504;3.2931;9.236;0.1668;0.121;-0.4516;0.0468;-0.0925;-0.0195;1.93;-36.69;-18.16;184.55;-19.62;-0.93;2.0;42.328;19.519932;-96.91544;;;188.70969;0 / 2;28.8;96.0;4.225;222;2014-10-24 12:39:55:105
-0.1891;2.2015;8.6921;-1.153;2.7405;9.3451;0.9639;-0.539;-0.6529;0.3147;0.0478;-0.0322;3.94;-35.55;-19.43;183.23;-16.23;7.03;2.0;42.628;19.519932;-96.91544;;;188.70969;0 / 4;28.8;96.0;4.225;805;2014-10-24 12:39:55:688
-3.5291;0.9697;5.6515;-2.5132;3.0414;8.978;-1.0159;-2.0717;-3.3265;0.1884;0.0529;0.1249;2.46;-34.88;-19.94;179.31;-17.14;6.66;2.0;42.385;19.519932;-96.91544;;;188.70969;0 / 4;28.8;96.0;4.225;1411;2014-10-24 12:39:56:294
-19.6127;0.5878;0.8092;-9.2648;-2.0155;2.5043;-10.3479;2.6033;-1.6951;2.3041;2.6547;-3.9905;35.55;-17.49;6.07;240.69;-6.99;58.08;0.0;42.575;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;2503;2014-10-24 12:39:57:386
-9.651;-7.9428;0.8763;-9.5497;-2.0285;0.9264;-0.1013;-5.9143;-0.0501;-1.5049;1.1218;2.187;39.06;-8.64;-0.54;189.33;11.94;84.46;0.0;46.029;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;3080;2014-10-24 12:39:57:963
4.6424;-9.1075;1.7729;0.6805;-9.499;-2.3402;3.9618;0.3914;4.1132;3.0478;2.3007;-2.5423;6.32;14.71;33.92;197.86;66.02;156.71;0.0;63.006;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;3780;2014-10-24 12:39:58:663
-1.3372;-10.1586;1.4904;0.1363;-9.3628;-2.9136;-1.4735;-0.7958;4.404;-0.9374;0.2401;0.8942;-12.46;22.6;23.52;146.34;85.24;-122.13;0.0;71.379;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;4708;2014-10-24 12:39:59:591
-4.7896;-15.457;-5.4145;0.2268;-9.751;-1.0188;-5.0164;-5.706;-4.3957;0.405;2.1058;-0.2191;-20.9;29.09;12.56;254.3;78.36;-172.17;0.0;57.636;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;5265;2014-10-24 12:40:00:148
1.8711;-3.8176;1.5909;0.0988;-9.8058;-0.0847;1.7723;5.9882;1.6756;-0.1142;1.9552;0.4999;-24.27;21.46;17.26;185.34;89.24;-130.6;0.0;55.857;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;5932;2014-10-24 12:40:00:815
-5.6611;-14.5974;-4.6519;0.8679;-8.9782;3.8483;-6.5289;-5.6193;-8.5003;0.3006;-1.022;0.435;-19.57;33.0;3.75;57.84;66.28;-12.71;0.0;66.266;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;6496;2014-10-24 12:40:01:379
3.3363;-19.6133;-17.492;0.6003;-9.5701;-2.0549;2.736;-10.0432;-15.4372;-0.5768;2.0267;0.6099;-24.12;25.77;12.76;236.02;77.39;-163.72;0.0;64.759;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;7199;2014-10-24 12:40:02:082
-1.2617;-11.2911;2.4768;0.0213;-9.7973;-0.4266;-1.2831;-1.4937;2.9034;-1.9933;1.8889;0.4648;-24.59;30.36;1.22;267.84;87.5;-177.14;0.0;66.787;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;7751;2014-10-24 12:40:02:634
-1.2773;-11.5233;7.7596;1.2831;-9.7223;-0.0312;-2.5604;-1.801;7.7908;2.1963;-2.4822;-0.6744;-29.16;26.01;4.14;172.62;82.48;-91.39;0.0;66.937;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;8333;2014-10-24 12:40:03:216
3.0921;-12.6246;0.0443;0.4402;-9.7967;-0.0395;-0.3507;-2.8623;3.5936;-2.3685;1.3265;-0.9298;-24.98;26.29;11.21;160.54;87.42;-95.13;0.0;63.93;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;8922;2014-10-24 12:40:03:805
-3.4381;-7.944;1.2438;1.0069;-9.7399;0.5394;-4.445;1.7959;0.7044;0.9291;1.722;0.991;-21.95;22.83;10.74;172.63;80.41;-110.44;0.0;58.534;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;9451;2014-10-24 12:40:04:334
-0.4262;-10.3681;0.996;-0.0228;-9.7274;1.2439;-0.4034;-0.6407;-0.248;-2.2622;1.5973;-0.6343;-19.42;28.22;-1.78;70.22;69.94;-3.02;0.0;63.111;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;10021;2014-10-24 12:40:04:904
-2.1416;-9.098;4.2018;0.9172;-9.7516;-0.4848;-3.0588;0.6537;4.6867;0.4133;0.3928;-0.6348;-28.17;24.44;-3.15;217.27;83.93;-117.86;0.0;64.388;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;10542;2014-10-24 12:40:05:425
-3.3148;-11.5233;3.6428;0.2261;-9.8036;0.0903;-0.9043;-0.8836;-4.7455;0.4972;4.1201;-0.2925;-26.71;23.41;-12.72;184.01;88.58;-68.22;0.0;63.16;19.519932;-96.91544;;;188.70969;0 / 2;28.8;96.0;4.225;11083;2014-10-24 12:40:05:966
8.4192;-14.8357;0.8475;1.367;-9.6924;-0.5986;1.1038;0.4197;-6.894;0.9769;-0.2962;0.5511;-27.14;25.26;0.32;207.69;81.25;-113.65;0.0;52.482;19.519932;-96.91544;;;188.70969;0 / 2;28.8;96.0;4.225;11744;2014-10-24 12:40:06:627
0.7506;-10.1071;0.9445;1.8245;-9.4438;1.9121;-1.074;-0.6633;-0.9676;-0.062;0.1718;-0.0627;-27.64;24.87;-2.27;125.29;74.46;-43.73;0.0;64.082;19.519932;-96.91544;;;188.70969;0 / 2;28.8;96.0;4.225;12374;2014-10-24 12:40:07:257
1.8423;-9.5409;0.6201;2.0133;-9.519;1.227;-0.171;-0.0219;-0.6069;-0.0312;0.0446;-0.0051;-27.45;24.27;0.15;139.77;76.09;-58.64;0.0;62.892;19.519932;-96.91544;;;188.70969;0 / 1;28.8;96.0;4.225;12885;2014-10-24 12:40:07:768
1.7645;-9.5792;0.4693;1.9736;-9.5785;0.7269;-0.2091;-7.0E-4;-0.2576;-0.04;0.0805;-0.0859;-27.51;24.42;-0.17;149.28;77.47;-65.37;0.0;42.292;19.519932;-96.91544;;;188.70969;0 / 1;28.8;96.0;4.225;13394;2014-10-24 12:40:08:277
0.6273;-9.7827;-1.4473;2.3477;-9.5157;-0.3309;-1.7204;-0.267;-1.1164;-0.2762;0.9174;-0.0054;-28.94;21.95;-4.78;193.13;75.66;-90.54;0.0;56.638;19.519932;-96.91544;;;188.70969;0 / 0;28.8;96.0;4.225;13970;2014-10-24 12:40:08:853
3.2597;-8.0278;-3.9804;3.5493;-8.8881;-2.1387;-0.2896;0.8604;-1.8417;-1.4712;2.4647;-0.1281;-26.59;22.64;-13.42;258.37;65.0;-121.07;0.0;55.499;19.519932;-96.91544;;;188.70969;0 / 0;28.8;96.0;4.225;14575;2014-10-24 12:40:09:458
2.1727;-8.5629;1.5131;1.4662;-9.6946;-0.1861;0.7066;1.1318;1.6993;0.2562;-0.7393;-0.6875;7.8;29.93;-21.98;295.55;74.4;-77.72;0.0;60.084;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;15116;2014-10-24 12:40:09:999
3.796;-8.9807;0.9002;2.5389;-9.4667;-0.3262;1.2571;0.486;1.2264;-0.6792;4.3504;-0.5316;14.26;33.71;5.15;17.29;74.87;-97.32;0.0;55.475;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;15690;2014-10-24 12:40:10:573
4.5981;-8.9651;0.6871;3.2875;-9.2233;-0.5417;1.3105;0.2582;1.2288;-0.0371;-0.039;-0.3611;9.26;32.5;16.21;45.8;70.14;-99.36;0.0;57.433;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;16209;2014-10-24 12:40:11:092
2.5594;-9.7947;-0.2562;2.9213;-9.3487;-0.4883;-0.3619;-0.446;0.2322;0.0805;-0.2135;0.235;6.97;31.67;18.65;56.32;72.42;-99.49;0.0;62.017;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;16805;2014-10-24 12:40:11:688
-0.0946;-9.4188;-0.9158;1.7985;-9.6362;-0.2807;-1.893;0.2175;-0.6351;-0.1835;0.5265;0.312;6.37;30.34;20.48;67.47;78.41;-99.48;0.0;59.035;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;17429;2014-10-24 12:40:12:312
5.7102;-8.9352;-3.4201;2.871;-9.1189;-2.185;2.8392;0.1837;-1.2351;-1.0701;1.8516;0.2084;-17.54;19.32;24.21;163.69;71.27;-130.93;0.0;71.778;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;18021;2014-10-24 12:40:12:904
-0.237;-8.7568;-0.1185;0.9655;-9.7524;-0.3585;-1.2025;0.9956;0.2399;0.6446;-0.4843;0.9881;-25.75;22.51;7.68;204.62;64.49;-120.7;0.0;59.695;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;18571;2014-10-24 12:40:13:454
1.8531;-10.8122;-1.549;1.192;-9.7214;0.4932;0.6611;-1.0908;-2.0422;-0.4167;-2.7799;-0.1722;-23.73;25.71;-3.39;162.0;82.44;-67.52;0.0;63.467;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;19084;2014-10-24 12:40:13:967
3.6547;-3.401;0.4322;4.0185;-8.6554;-2.2598;-0.3637;5.2544;2.6919;-0.7261;2.9617;-0.9503;-29.69;17.71;-2.31;230.1;61.96;-119.35;0.0;66.101;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;19728;2014-10-24 12:40:14:611
1.816;-9.6546;1.2103;2.9762;-9.3356;0.3987;-1.1602;-0.319;0.8116;0.4772;0.2025;0.3025;-18.7;20.3;-20.91;238.81;69.84;-89.58;0.0;63.448;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;20322;2014-10-24 12:40:15:205
3.322;-8.9711;1.5;2.9051;-9.3464;0.6132;0.4169;0.3753;0.8868;0.0961;0.2664;-0.0737;-22.21;19.21;-18.89;218.78;72.38;-78.08;0.0;56.132;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;20865;2014-10-24 12:40:15:748
2.0375;-9.7935;1.002;2.8095;-9.3869;0.4037;0.7153;0.4681;0.8598;0.1064;-0.3269;0.1854;-21.25;19.23;-18.97;222.97;73.18;-81.82;0.0;54.188;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;21384;2014-10-24 12:40:16:267
2.5762;-9.3829;0.097;2.8552;-9.3753;0.348;-0.279;-0.0075;-0.2511;-0.0068;-0.0544;-0.0205;-21.05;19.21;-19.47;224.59;72.94;-83.05;0.0;56.138;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;21966;2014-10-24 12:40:16:849
2.8886;-9.0668;1.154;2.8463;-9.3754;0.4143;0.0423;0.3085;0.7397;0.04;0.0761;-0.0081;-21.4;18.87;-19.66;225.42;72.99;-82.51;0.0;53.585;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;22524;2014-10-24 12:40:17:407
2.7916;-9.3134;0.735;2.8167;-9.3785;0.5288;-0.025;0.0651;0.2062;0.0098;-0.011;-0.0129;-21.29;18.7;-20.01;221.98;72.98;-79.59;0.0;54.976;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;23044;2014-10-24 12:40:17:927
2.7641;-9.3122;0.9278;2.8032;-9.3813;0.551;-0.0391;0.0691;0.3768;0.0151;-0.0024;-0.0015;-21.35;17.95;-20.52;220.31;73.13;-78.66;0.0;48.281;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;23566;2014-10-24 12:40:18:449
2.9413;-9.2632;0.7937;2.8003;-9.3845;0.5102;0.1409;0.1213;0.2835;0.0107;-0.009;-0.0188;-21.01;18.65;-20.01;221.59;73.12;-79.35;0.0;53.949;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;24075;2014-10-24 12:40:18:958
2.6528;-9.3793;0.6512;2.7827;-9.3961;0.3737;0.0101;0.1533;0.3685;0.002;0.021;-0.0034;-21.25;18.87;-19.55;224.96;73.36;-82.35;0.0;54.505;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;24591;2014-10-24 12:40:19:474
2.8036;-9.2871;0.6117;2.8181;-9.3885;0.2898;-0.0145;0.1014;0.3219;0.0054;0.0051;-0.0281;-21.8;19.02;-19.3;223.86;73.21;-84.13;0.0;46.615;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;25110;2014-10-24 12:40:19:993
2.8814;-9.2763;0.5986;2.8655;-9.3737;0.3066;0.0159;0.0973;0.292;0.0054;-0.021;-0.0166;-21.7;18.31;-18.87;223.16;72.97;-83.79;0.0;52.37;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;25623;2014-10-24 12:40:20:506
2.9712;-9.2883;0.5878;2.8869;-9.3668;0.3135;0.0843;0.0785;0.2743;0.0278;-0.0134;-0.0107;-21.85;18.83;-18.87;223.9;72.81;-83.91;0.0;58.052;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;26232;2014-10-24 12:40:21:115
2.9221;-9.2668;0.492;2.8827;-9.3676;0.3303;0.0394;0.1008;0.1617;0.0234;0.0105;-0.0107;-21.81;18.78;-18.68;223.44;72.8;-83.52;0.0;62.886;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;26809;2014-10-24 12:40:21:692
2.9054;-9.2955;0.5614;2.902;-9.3605;0.361;-0.0377;0.0517;0.1999;0.0098;-5.0E-4;-0.0146;-21.81;18.72;-18.78;222.87;72.67;-82.96;0.0;59.999;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;27464;2014-10-24 12:40:22:347
2.818;-9.3087;0.5423;2.8914;-9.3631;0.3777;-0.0734;0.0544;0.1646;0.0195;0.0176;-0.0139;-21.59;18.89;-18.87;222.55;72.68;-82.7;0.0;55.82;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;28030;2014-10-24 12:40:22:913
2.9544;-9.2931;0.48;2.9124;-9.3562;0.3883;-0.0701;0.0805;0.1831;0.0088;-0.0193;-0.0127;-21.83;18.89;-18.78;222.29;72.57;-82.41;0.0;63.816;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;28731;2014-10-24 12:40:23:614
2.8527;-9.3122;0.5782;2.9214;-9.3537;0.3802;-0.0687;0.0414;0.198;0.0107;-0.0022;-0.0188;-22.17;18.91;-18.85;222.54;72.52;-82.59;0.0;59.234;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;29329;2014-10-24 12:40:24:212
2.903;-9.2883;0.5447;2.9322;-9.3492;0.405;-0.0293;0.0609;0.1397;0.021;0.0015;-0.0127;-21.98;19.38;-18.74;222.07;72.43;-82.14;0.0;58.663;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;29915;2014-10-24 12:40:24:798
2.9509;-9.2428;0.486;2.9392;-9.3466;0.416;0.0117;0.1038;0.0701;0.02;0.0132;-0.0083;-22.04;19.32;-18.63;221.99;72.39;-82.05;0.0;59.491;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;30561;2014-10-24 12:40:25:444
2.9113;-9.2476;0.48;2.9344;-9.3477;0.4246;-0.023;0.1001;0.0555;0.0132;2.0E-4;-0.0124;-21.51;19.58;-18.7;222.14;72.4;-81.77;0.0;60.203;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;31115;2014-10-24 12:40:25:998
2.8946;-9.2787;0.4441;2.9369;-9.3463;0.4388;-0.0423;0.0675;0.0054;0.0249;0.02;-0.0142;-21.74;19.45;-18.65;221.35;72.37;-81.5;0.0;58.376;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;31759;2014-10-24 12:40:26:642
2.8898;-9.3015;0.4717;2.9447;-9.3432;0.4504;-0.0549;0.0418;0.0213;0.0127;0.0105;-0.0163;-21.81;19.32;-18.53;221.11;72.33;-81.28;0.0;58.438;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;32322;2014-10-24 12:40:27:205
2.9066;-9.3206;0.5076;2.9382;-9.3449;0.4591;-0.0317;0.0242;0.0485;0.0215;0.0237;-0.0098;-21.5;19.27;-18.63;221.11;72.32;-81.27;0.0;59.776;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;32951;2014-10-24 12:40:27:834
2.8946;-9.335;0.6021;2.8934;-9.3551;0.5299;-0.0701;0.055;0.0916;0.0156;0.0256;-0.0066;-21.46;19.47;-18.82;220.8;72.55;-79.62;0.0;61.683;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;33521;2014-10-24 12:40:28:404
2.8587;-9.2823;0.6357;2.8783;-9.3579;0.5621;-0.1118;0.0396;0.0483;0.0185;0.0022;-0.0159;-21.59;19.51;-18.98;218.45;72.64;-78.88;0.0;64.143;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;34050;2014-10-24 12:40:28:933
2.812;-9.2859;0.6177;2.89;-9.3549;0.5519;-0.078;0.069;0.0658;0.0088;-0.0027;-0.0188;-22.02;19.0;-19.15;218.13;72.57;-78.95;0.0;61.5;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;34586;2014-10-24 12:40:29:469
2.8778;-9.2153;0.644;2.8975;-9.352;0.5603;-0.0197;0.1368;0.0837;0.0132;0.0049;-0.0137;-21.63;18.82;-19.0;218.54;72.5;-79.24;0.0;60.058;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;35113;2014-10-24 12:40:29:996
2.891;-9.2883;0.5878;2.9147;-9.3467;0.5606;-0.0237;0.0584;0.0272;0.0107;-0.0022;-0.0151;-21.95;19.19;-18.87;218.46;72.38;-79.11;0.0;57.876;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;35681;2014-10-24 12:40:30:564
2.9042;-9.2955;0.6273;2.9209;-9.3447;0.5609;-0.0167;0.0493;0.0664;0.0142;-0.0027;-0.0137;-22.06;19.1;-18.93;218.61;72.35;-79.22;0.0;59.609;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;36202;2014-10-24 12:40:31:085
2.9281;-9.2668;0.6057;2.9249;-9.3435;0.5605;0.0056;0.0779;0.0106;0.0127;0.0056;-0.0137;-22.4;19.25;-19.02;218.55;72.32;-79.15;0.0;61.097;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;36741;2014-10-24 12:40:31:624
2.9054;-9.2919;0.5758;2.9158;-9.3467;0.5543;-0.0105;0.0548;0.0215;0.0146;0.0115;-0.0105;-22.19;18.97;-19.27;218.59;72.37;-79.21;0.0;60.235;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;37242;2014-10-24 12:40:32:125
2.8994;-9.2847;0.5076;2.921;-9.3461;0.5381;-0.0216;0.0613;-0.0305;0.0137;-5.0E-4;-0.0132;-22.15;19.21;-18.97;218.95;72.37;-79.51;0.0;60.71;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;37781;2014-10-24 12:40:32:664
2.8659;-9.2883;0.5124;2.9188;-9.3467;0.5384;-0.053;0.0584;-0.026;0.0161;0.0193;-0.0124;-22.11;19.08;-18.93;218.99;72.38;-79.55;0.0;64.231;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;38296;2014-10-24 12:40:33:179
2.897;-9.3087;0.4717;2.914;-9.3482;0.5396;-0.017;0.0395;-0.0679;0.022;0.0278;-0.0112;-21.93;19.06;-18.89;218.96;72.4;-79.53;0.0;64.753;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;38834;2014-10-24 12:40:33:717
2.9293;-9.2692;0.5207;2.917;-9.3466;0.5497;-0.0092;0.0835;0.0501;0.0161;0.0024;-0.0139;-21.93;19.19;-18.87;218.79;72.41;-79.4;0.0;65.805;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;39373;2014-10-24 12:40:34:256
2.8754;-9.3063;0.5842;2.92;-9.3446;0.5683;-0.0446;0.0383;0.0159;0.0171;0.0041;-0.0132;-22.47;19.1;-19.98;218.33;72.35;-79.13;0.0;66.338;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;39892;2014-10-24 12:40:34:775
2.9197;-9.2883;0.5782;2.9154;-9.3438;0.6038;0.0043;0.0555;-0.0256;0.0215;0.0132;-0.0122;-21.95;18.85;-19.19;217.69;72.33;-78.45;0.0;63.538;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;40453;2014-10-24 12:40:35:336
2.8718;-9.2847;0.6512;2.9201;-9.3404;0.6322;-0.0482;0.0557;0.019;0.0146;0.0056;-0.0176;-21.8;19.17;-19.08;216.97;72.3;-77.84;0.0;66.289;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;41012;2014-10-24 12:40:35:895
2.8934;-9.2967;0.5399;2.9133;-9.3438;0.6142;4.0E-4;0.0878;-0.0623;0.0181;0.0054;-0.0076;-22.28;19.1;-19.32;217.2;72.3;-78.03;0.0;67.933;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;41526;2014-10-24 12:40:36:409
2.8228;-9.2835;0.5758;2.8343;-9.368;0.6142;-0.1229;-0.0256;-0.054;0.0298;0.0446;0.032;-22.32;19.27;-18.98;217.83;72.45;-78.63;0.0;66.394;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;42050;2014-10-24 12:40:36:933
2.7114;-9.3529;0.7075;2.8211;-9.3711;0.6273;-0.1097;0.0182;0.0802;-0.0151;-0.0437;-0.0415;-21.7;18.65;-19.43;216.13;72.86;-77.46;0.0;65.05;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;42596;2014-10-24 12:40:37:479
2.8527;-9.3146;0.5567;2.8383;-9.3669;0.6132;-0.0132;0.0355;-0.0243;0.0166;0.0142;-0.0154;-21.66;18.63;-19.27;216.49;72.79;-77.72;0.0;64.867;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;43096;2014-10-24 12:40:37:979
2.8563;-9.2859;0.5698;2.8426;-9.366;0.6068;0.0137;0.0801;-0.037;0.019;0.0041;-0.0127;-21.57;19.0;-18.85;216.74;72.76;-77.91;0.0;65.358;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;43660;2014-10-24 12:40:38:543
2.8599;-9.3027;0.577;2.8505;-9.364;0.601;0.0094;0.0613;-0.024;0.0205;0.0142;-0.01;-21.93;18.59;-19.36;217.06;72.73;-78.16;0.0;66.646;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;44263;2014-10-24 12:40:39:146
2.8168;-9.2955;0.6285;2.8442;-9.3648;0.6173;-0.0275;0.0693;0.0112;0.0215;0.0059;-0.0112;-21.89;19.23;-20.05;218.15;72.74;-77.76;0.0;63.309;19.519932;-96.91544;;;188.70969;0 / 0;29.8;96.0;4.166;44802;2014-10-24 12:40:39:685
2.8503;-9.25;0.6812;2.8449;-9.3635;0.6335;0.0054;0.1135;0.0476;0.0151;0.012;-0.0134;-21.68;19.15;-19.79;217.79;72.71;-77.45;0.0;66.132;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;45305;2014-10-24 12:40:40:188
2.8527;-9.2692;0.6883;2.8439;-9.3627;0.6506;0.0135;0.06;-0.0293;0.0132;0.0166;-0.0134;-21.53;19.28;-19.06;215.82;72.69;-77.12;0.0;65.94;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;45814;2014-10-24 12:40:40:697
2.8359;-9.2656;0.6716;2.8456;-9.3623;0.6477;-0.0601;0.0528;-0.0221;0.0098;-7.0E-4;-0.012;-21.66;19.3;-19.17;215.86;72.68;-77.15;0.0;65.312;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;46317;2014-10-24 12:40:41:200
