sep=;
2.7821;-9.3003;0.6309;2.8393;-9.3638;0.6538;-0.0566;0.0638;-0.0227;0.019;7.0E-4;-0.0151;-20.95;19.21;-19.15;217.53;72.72;-77.03;0.0;64.61;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;46845;2014-10-24 12:40:41:728
2.7916;-9.3242;0.6512;2.8354;-9.365;0.6535;0.0133;0.0924;-0.0153;0.0229;0.0059;-0.0076;-21.76;19.25;-18.95;215.73;72.71;-77.06;0.0;60.929;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;47363;2014-10-24 12:40:42:246
2.7629;-9.3278;0.6871;2.798;-9.3739;0.6872;-0.0351;0.046;-1.0E-4;0.0229;-0.0068;-0.0156;-21.91;18.57;-19.92;216.16;72.91;-76.2;0.0;60.071;19.519932;-96.91544;;;188.70969;0 / 1;30.4;95.0;4.149;47934;2014-10-24 12:40:42:817
2.7653;-9.2907;0.6692;2.7755;-9.3779;0.7227;-0.0102;0.0872;-0.0535;0.0288;0.0203;-0.009;-21.87;19.38;-19.25;214.21;72.92;-75.92;0.0;56.648;19.519932;-96.91544;;;188.70969;0 / 1;30.4;95.0;4.149;48442;2014-10-24 12:40:43:325
2.7845;-9.2823;0.9026;2.7815;-9.3747;0.7403;0.0029;0.0924;0.1623;5.0E-4;0.0063;-0.0056;-21.55;19.64;-19.25;213.48;72.91;-74.99;0.0;49.408;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;48986;2014-10-24 12:40:43:869
2.4612;-9.3386;1.2366;2.4188;-9.437;1.1242;0.0424;0.0984;0.1124;0.1015;0.1688;0.0851;-19.58;19.7;-21.66;208.82;74.22;-65.07;0.0;55.408;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;49503;2014-10-24 12:40:44:386
2.3008;-9.5828;1.2953;2.2731;-9.4714;1.1388;0.0278;-0.1114;0.1565;-0.0766;-0.2147;-0.0808;-18.85;19.98;-21.44;206.82;74.97;-63.39;0.0;54.289;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;50205;2014-10-24 12:40:45:088
2.4409;-9.347;0.905;2.3972;-9.4529;1.0328;0.1647;0.0488;0.0171;0.0073;0.001;-0.0207;-19.7;19.55;-20.31;206.48;74.68;-65.85;0.0;52.668;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;50864;2014-10-24 12:40:45:747
2.5055;-9.3446;1.2893;2.4501;-9.4483;0.9468;0.0554;0.1038;0.3425;-0.0068;-0.2315;-0.0312;-19.73;19.7;-21.42;211.87;74.46;-68.87;0.0;52.168;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;51445;2014-10-24 12:40:46:328
2.66;-9.3338;0.8212;2.5573;-9.4291;0.8502;0.1026;0.0953;-0.029;0.0093;-0.0437;-0.02;-21.33;19.57;-20.48;210.56;74.21;-70.48;0.0;51.793;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;51988;2014-10-24 12:40:46:871
2.6552;-9.3458;0.7913;2.5595;-9.4298;0.8351;0.0956;0.0841;-0.0439;-0.0259;-0.0547;-0.0356;-21.4;19.36;-20.18;211.68;74.09;-71.62;0.0;53.9;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;52603;2014-10-24 12:40:47:486
2.5115;-9.4451;0.9325;2.6087;-9.4248;0.7331;-0.0972;-0.0203;0.1994;0.0185;0.0895;-0.0044;-21.96;19.36;-20.15;213.23;73.96;-74.3;0.0;56.183;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;53293;2014-10-24 12:40:48:176
2.5187;-9.2584;0.8392;2.6504;-9.4132;0.7329;0.0311;0.0974;0.0105;0.0229;-0.0083;-0.0163;-21.35;19.32;-20.07;215.44;73.72;-74.54;0.0;48.936;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;53841;2014-10-24 12:40:48:724
2.393;-9.4403;0.4812;2.6205;-9.4184;0.773;-0.2275;-0.022;-0.2918;0.0239;0.0625;0.0024;-21.59;19.49;-20.26;212.29;73.69;-73.39;0.0;48.303;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;54420;2014-10-24 12:40:49:303
2.4972;-9.4846;1.1325;2.4678;-9.4427;0.9568;0.0293;-0.0419;0.1756;0.0766;0.192;0.0798;-21.1;19.62;-20.8;210.0;74.34;-68.81;0.0;47.091;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;55053;2014-10-24 12:40:49:936
2.3499;-9.4391;1.0451;2.3133;-9.4781;0.9926;0.0366;0.0389;0.0525;-0.0425;-0.0737;-0.1317;-20.56;19.79;-20.73;207.11;75.13;-66.78;0.0;53.434;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;55724;2014-10-24 12:40:50:607
2.5642;-9.2931;0.4597;2.6934;-9.4172;0.4819;-0.1292;0.1241;-0.0222;0.0122;0.0788;0.0076;-21.68;20.2;-19.36;218.82;73.8;-79.86;0.0;50.691;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;56226;2014-10-24 12:40:51:109
2.654;-9.432;0.3579;2.6785;-9.4221;0.4683;-0.0245;-0.0098;-0.1103;0.0776;-0.0827;-0.0295;-21.55;19.92;-19.12;219.15;74.02;-80.26;0.0;52.802;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;56742;2014-10-24 12:40:51:625
2.5666;-9.2799;-0.0311;2.6705;-9.4255;0.4454;-0.1039;0.1456;-0.4765;0.0361;0.1274;-0.021;-21.81;19.94;-19.66;220.06;73.74;-80.86;0.0;54.312;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;57286;2014-10-24 12:40:52:169
2.733;-9.3003;0.3065;2.6723;-9.4243;0.4595;0.0607;0.1241;-0.1531;0.0361;0.0693;-0.0261;-21.5;20.02;-19.3;220.99;73.95;-80.24;0.0;54.312;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;58312;2014-10-24 12:40:53:195
2.551;-9.5864;1.008;2.5264;-9.4475;0.7304;0.0247;-0.1389;0.2776;-0.2547;0.1874;-0.1376;-21.46;19.1;-19.81;208.38;74.72;-69.18;0.0;51.731;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;58857;2014-10-24 12:40:53:740
2.3798;-9.238;0.68;2.4247;-9.4651;0.8389;-0.0448;0.227;-0.159;0.0522;-0.0864;-0.0237;-20.39;19.6;-20.9;210.86;74.78;-72.71;0.0;49.457;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;59408;2014-10-24 12:40:54:291
2.5438;-9.3027;0.2514;2.4897;-9.4604;0.6873;0.3055;0.3768;-0.3796;-0.0429;-0.2218;-0.0761;-20.97;19.66;-20.15;218.56;74.73;-74.57;0.0;51.548;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;59908;2014-10-24 12:40:54:791
1.8794;-9.177;1.1205;2.3063;-9.5135;0.5868;-0.4269;0.3365;0.5337;-0.0761;0.0873;0.3616;-22.06;19.47;-19.21;215.2;73.94;-77.26;0.0;51.231;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;60569;2014-10-24 12:40:55:452
2.3308;-9.3518;0.5195;2.3412;-9.4964;0.7126;-0.0104;0.1446;-0.193;0.0751;-0.0142;-0.0849;-20.18;19.85;-20.6;202.89;76.19;-62.21;0.0;53.626;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;61160;2014-10-24 12:40:56:043
2.7928;-9.2093;0.1257;2.3515;-9.4945;0.7041;0.4414;0.2852;-0.5784;-0.0932;0.5011;0.079;-21.05;20.24;-19.6;212.56;75.48;-72.73;0.0;50.737;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;61683;2014-10-24 12:40:56:566
2.7294;-9.4284;0.2083;2.4673;-9.4717;0.6078;0.2621;0.0433;-0.3995;-0.0034;-0.232;-0.0371;-21.38;20.13;-19.72;216.96;74.98;-76.16;0.0;49.98;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;62224;2014-10-24 12:40:57:107
2.4289;-9.3039;0.8116;2.5221;-9.4604;0.5571;-0.0932;0.1565;0.2546;-0.0029;-0.0976;-0.03;-21.4;20.32;-19.98;218.08;74.82;-77.01;0.0;50.274;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;62832;2014-10-24 12:40:57:715
2.4361;-9.4786;0.067;2.4833;-9.471;0.5507;-0.0472;-0.0076;-0.4836;0.1054;-0.0459;-0.0117;-21.61;20.26;-19.9;216.81;74.98;-77.52;0.0;50.348;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;63353;2014-10-24 12:40:58:236
2.4361;-9.4786;0.067;2.4833;-9.471;0.5507;-0.0472;-0.0076;-0.4836;0.0556;-0.223;-0.0556;-21.55;20.18;-19.77;216.79;74.97;-77.5;0.0;49.658;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;63861;2014-10-24 12:40:58:744
2.7821;-9.6774;1.4832;2.6059;-9.4481;0.3356;0.1761;-0.2293;1.1476;-0.1654;0.1154;-0.235;-22.17;19.94;-18.35;216.66;74.48;-78.44;0.0;51.393;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;64396;2014-10-24 12:40:59:279
5.0482;-10.1155;-0.0682;3.9293;-8.96;-0.6704;1.1188;-1.1555;0.6021;0.2772;1.5805;0.1488;-24.23;17.78;-17.63;216.42;73.76;-82.64;0.0;60.843;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;64916;2014-10-24 12:40:59:799
3.1292;-10.0604;2.0099;3.8604;-9.0064;-0.391;-0.7311;-1.054;2.4009;-0.0986;0.3799;-0.0222;-25.0;16.42;-18.05;236.58;67.65;-98.73;0.0;63.894;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;65748;2014-10-24 12:41:00:631
1.9908;-7.8937;-0.6021;3.4117;-9.1935;-0.1025;-1.4209;1.2998;-0.4996;-0.1215;0.4855;0.9886;-21.61;19.57;-19.94;241.58;68.48;-94.28;0.0;68.221;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;66360;2014-10-24 12:41:01:243
3.9863;-8.843;-1.1109;4.2305;-8.764;-1.2106;-0.2442;-0.079;0.0997;-0.5036;0.1608;-0.1215;-21.7;19.87;-18.82;240.17;66.9;-92.83;0.0;68.861;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;66906;2014-10-24 12:41:01:789
4.8722;-8.4036;-1.3683;4.4215;-8.5428;-1.9081;0.4507;0.1392;0.5398;-0.4118;0.4131;0.0281;-18.7;23.86;-17.95;274.63;61.3;-111.84;0.0;52.978;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;67473;2014-10-24 12:41:02:356
3.8702;-8.5629;-1.2498;3.5772;-9.045;-1.2498;0.293;0.4821;0.0;0.0698;0.3194;0.1383;-12.07;27.62;-17.97;287.79;66.85;-111.44;0.0;76.893;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;67981;2014-10-24 12:41:02:864
4.5574;-8.8753;-1.2007;4.6397;-8.513;-1.4738;-0.0823;-0.3623;0.2731;-0.0844;0.2816;-0.2813;-9.97;29.07;-17.8;298.27;60.24;-107.62;0.0;69.447;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;68481;2014-10-24 12:41:03:364
5.4336;-10.1215;-0.1281;3.2388;-9.1811;1.1783;0.5285;-0.7249;-2.6124;0.6002;0.9152;0.5612;-2.89;25.21;-24.51;291.7;60.05;-99.64;0.0;64.247;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;69003;2014-10-24 12:41:03:886
2.8898;-7.7943;-3.2358;3.3803;-8.9068;-2.3266;-0.4905;1.1125;-0.9091;-0.8573;0.8649;-0.2203;1.91;34.41;-13.16;336.87;65.26;-124.54;0.0;64.678;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;69581;2014-10-24 12:41:04:464
2.9425;-9.2476;0.5543;3.2395;-8.9593;-2.3253;-0.297;-0.2883;2.8796;0.8964;0.1613;0.0237;0.13;33.66;-16.36;329.82;66.01;-125.67;0.0;65.822;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;70115;2014-10-24 12:41:04:998
2.296;-9.2883;-2.156;2.8599;-9.3103;-1.1447;-0.5639;0.0219;-1.0113;-0.143;-0.1313;-0.1242;-3.47;30.9;-20.24;307.04;72.02;-114.02;0.0;68.87;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;70630;2014-10-24 12:41:05:513
3.7266;-8.9807;-1.2462;3.2461;-9.1374;-1.4634;0.4805;0.1567;0.2172;-0.0561;-0.2535;-0.1;-19.23;25.54;-19.68;274.18;69.38;-113.02;0.0;55.897;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;71133;2014-10-24 12:41:06:016
4.1288;-8.9543;-0.7278;3.5735;-9.0531;-1.2005;0.5553;0.0988;0.4727;0.0102;0.1891;0.0344;-20.97;23.97;-19.68;262.26;67.54;-109.21;0.0;51.867;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;71715;2014-10-24 12:41:06:598
4.4496;-8.922;-1.3491;3.6375;-9.0124;-1.3095;0.8121;0.0905;-0.0396;-0.121;0.0549;-0.0122;-21.66;24.55;-19.15;259.78;67.35;-107.52;0.0;50.788;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;72262;2014-10-24 12:41:07:145
3.6966;-9.3757;-0.9804;4.1111;-8.8859;-0.5567;-0.4145;-0.4898;-0.4238;0.2825;0.1891;0.4672;-20.6;23.58;-20.58;262.8;64.09;-106.89;0.0;48.79;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;72844;2014-10-24 12:41:07:727
1.5131;-9.2847;-1.0618;2.2434;-9.5166;0.7568;-0.7303;0.2318;-1.8186;-0.0815;0.1095;0.1676;-13.23;24.23;-24.66;234.54;76.03;-71.36;0.0;52.268;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;73498;2014-10-24 12:41:08:381
0.0838;-9.845;-0.0886;0.8174;-9.7693;-0.2495;-0.7336;-0.0756;0.1609;-0.1195;0.8264;0.0947;-13.53;27.21;-21.27;258.59;85.0;-106.97;0.0;53.189;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;74025;2014-10-24 12:41:08:908
0.3029;-9.9599;0.1041;0.5697;-9.7894;-0.1126;-0.2668;-0.1704;0.2167;-0.0849;-0.1749;-0.0351;-14.49;26.86;-20.86;250.96;86.61;-101.18;0.0;50.456;19.519932;-96.91544;;;188.70969;0 / 0;30.4;95.0;4.149;74587;2014-10-24 12:41:09:470
0.5339;-9.754;0.3867;0.3328;-9.8009;-0.0411;-0.0102;-0.0839;0.9608;-0.0346;0.2384;-0.0322;-13.53;27.29;-21.48;249.99;88.03;-101.69;0.0;54.086;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;75134;2014-10-24 12:41:10:017
-0.3424;-9.9443;-0.1796;0.259;-9.8004;0.2367;-0.6014;-0.1439;-0.4163;0.1083;0.7766;-0.0256;-11.88;27.08;-22.56;257.33;88.62;-102.35;0.0;53.209;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;75652;2014-10-24 12:41:10:535
1.67;-9.9719;1.409;0.5432;-9.7287;1.1079;1.1268;-0.2431;0.3011;-0.1044;1.5229;-0.5663;1.22;25.66;-27.89;206.55;85.32;-30.81;0.0;48.585;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;76216;2014-10-24 12:41:11:099
4.537;-9.8426;-0.9469;2.5554;-9.4438;-0.674;1.9816;-0.3987;-0.2729;-0.5167;0.3211;0.0456;10.01;32.68;-16.4;309.11;79.69;-83.36;0.0;51.398;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;76776;2014-10-24 12:41:11:659
3.723;-8.1846;-2.3798;2.7414;-9.1333;-2.2887;0.9816;0.9487;-0.0911;-0.566;0.8786;0.1405;12.2;36.38;-2.94;12.16;70.0;-127.63;0.0;71.523;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;77281;2014-10-24 12:41:12:164
0.9457;-10.5321;2.8575;2.2713;-9.4823;-1.0473;-1.3255;-1.0497;3.9048;1.3487;-1.9313;-0.4167;12.22;35.08;-8.94;352.24;75.22;-114.76;0.0;63.047;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;77791;2014-10-24 12:41:12:674
-0.8368;-9.9515;0.1389;1.7244;-9.6314;0.6586;-2.5612;-0.3201;-0.5197;-0.0429;-2.3834;-0.0405;13.61;31.77;-17.24;291.57;80.91;-59.88;0.0;56.756;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;78299;2014-10-24 12:41:13:182
3.1759;-7.9667;-1.8794;0.8397;-9.7693;0.163;2.3362;1.8026;-2.0425;1.3585;-3.0639;0.4648;-16.14;27.61;-22.19;226.86;85.0;-79.01;0.0;68.6;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;78820;2014-10-24 12:41:13:703
1.7933;-9.4248;1.9836;2.1049;-9.5778;0.076;-0.3116;0.153;1.9076;0.3518;-1.8057;-0.0586;-26.93;25.0;-10.38;202.91;77.6;-87.93;0.0;57.679;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;79334;2014-10-24 12:41:14:217
2.2805;-9.0106;-0.5997;1.3806;-9.7064;0.2243;0.8999;0.6958;-0.8241;0.0952;-1.64;-0.2859;-18.16;25.82;20.48;115.31;81.8;-80.77;0.0;53.97;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;79834;2014-10-24 12:41:14:717
2.9137;-8.157;-2.976;3.2582;-9.2493;-0.0754;-0.3444;1.0922;-2.9006;0.1674;-0.4438;-0.2896;-15.95;23.31;24.72;107.97;70.59;-91.33;0.0;67.66;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;80409;2014-10-24 12:41:15:292
-0.3723;-8.594;2.5163;1.8494;-9.5867;0.9196;-0.9648;-0.7802;0.5887;1.1726;-0.7058;0.7388;1.78;28.41;24.46;72.87;72.38;-97.41;0.0;62.804;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;80931;2014-10-24 12:41:15:814
2.0387;-11.9842;2.9269;0.6321;-9.7741;-0.4882;1.4066;-2.2101;3.4152;-2.7511;-0.3113;-0.315;20.75;30.4;9.15;55.88;85.33;-127.68;0.0;60.211;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;81678;2014-10-24 12:41:16:561
-1.0271;-7.2101;1.397;1.5301;-9.6429;-0.9183;-2.5572;2.4328;2.3153;0.9593;0.2955;1.3878;4.57;29.05;18.01;84.09;65.56;-143.55;0.0;61.48;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;82233;2014-10-24 12:41:17:116
-0.8056;-6.189;2.8443;0.8793;-9.3144;-2.9394;-1.6849;3.1253;5.7837;-1.863;1.1599;0.4592;19.45;31.22;-4.29;359.24;87.67;-101.08;0.0;58.753;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;82773;2014-10-24 12:41:17:656
3.6332;-10.0161;3.0694;1.7084;-9.6369;0.6178;1.696;-0.4041;3.2302;0.7895;-3.8263;-0.1547;20.67;32.27;7.53;0.78;79.32;-70.12;0.0;59.94;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;83292;2014-10-24 12:41:18:175
3.0179;-10.835;2.4768;0.3545;-9.799;0.1571;2.6633;-1.036;2.3197;-2.5418;1.8423;-0.6666;15.67;34.0;-13.55;287.33;87.73;-66.11;0.0;61.738;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;83800;2014-10-24 12:41:18:683
7.0916;-17.9649;0.0646;1.178;-9.6291;-1.4365;0.6332;5.699;-1.3851;1.5102;-4.9921;-1.5676;19.17;33.36;9.41;61.13;79.08;-140.65;0.0;65.961;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;84344;2014-10-24 12:41:19:227
-2.7569;-12.9502;3.4153;-0.219;-9.4845;2.4832;-2.5379;-3.4657;0.9321;-2.774;-0.0864;-0.183;18.1;27.46;-19.34;248.41;67.79;-0.62;0.0;66.881;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;84884;2014-10-24 12:41:19:767
7.6028;-19.6133;-1.5778;1.022;-9.7065;-0.9542;-0.1158;8.477;-1.7465;1.4546;0.6578;-0.4348;18.07;33.75;9.82;85.35;72.02;-178.33;0.0;66.155;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;85396;2014-10-24 12:41:20:279
0.9768;-12.7228;-0.097;0.9075;-9.7637;0.1294;-3.3991;-3.4417;-2.1383;1.7552;-2.1668;0.0837;19.04;30.94;-14.13;321.23;83.39;-59.61;0.0;59.944;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;85899;2014-10-24 12:41:20:782
0.9673;-3.7074;2.7054;0.7548;-9.7775;0.0446;0.6355;6.0585;1.8766;-0.243;0.0124;-0.2806;19.7;34.0;-3.5;293.0;87.09;-29.86;0.0;58.308;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;86399;2014-10-24 12:41:21:282
-0.4238;-9.5457;-6.5864;-0.0084;-9.7597;0.9586;0.2289;0.5475;-4.4569;2.96;-2.3;1.388;21.91;31.9;-7.91;257.09;84.39;0.5;0.0;63.415;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;86899;2014-10-24 12:41:21:782
3.6224;-7.1587;2.63;1.4186;-9.4223;-2.3193;2.8855;-0.2292;3.0595;-2.6945;-0.213;-1.0472;14.22;35.55;-9.54;14.94;73.9;-148.55;0.0;58.173;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;87404;2014-10-24 12:41:22:287
0.8392;-13.1609;2.4146;1.0631;-9.722;-0.723;-0.2239;-3.4389;3.1376;0.871;5.2695;1.3731;16.77;35.06;3.28;55.03;79.84;-153.67;0.0;72.657;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;87920;2014-10-24 12:41:22:803
6.4943;-9.4463;-0.8056;1.6845;-9.6122;-0.9689;4.8098;0.1659;0.1633;-2.2588;2.0033;-0.0956;-2.55;30.0;-25.84;303.82;78.57;-119.91;0.0;67.029;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;88441;2014-10-24 12:41:23:324
0.1281;-5.2637;-1.7274;3.0166;-9.2738;-1.033;-2.8885;4.0102;-0.6944;0.6739;5.0696;-0.8176;-17.39;34.73;-11.6;269.48;71.03;-108.9;0.0;64.371;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;88959;2014-10-24 12:41:23:842
-6.6176;-5.8395;-2.9987;-0.3173;-9.3155;-3.0482;0.7852;0.3265;2.4928;0.5885;-3.6953;2.4898;-8.62;38.4;-9.43;296.58;60.67;-109.03;0.0;70.539;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;89468;2014-10-24 12:41:24:351
-8.8178;-11.485;1.7801;-4.0817;-8.9154;0.1581;0.0441;1.0715;3.1876;-0.0537;3.2076;2.5664;-7.91;37.97;-12.72;16.19;71.63;126.62;0.0;64.702;19.519932;-96.91544;;;188.70969;0 / 1;31.1;95.0;4.152;89971;2014-10-24 12:41:24:854
-15.6126;6.517;2.0662;-9.1193;-3.6055;0.0951;-6.4933;10.1226;1.9711;0.1976;-0.8705;0.3064;17.78;30.72;-18.31;47.85;32.45;91.91;0.0;69.09;19.519932;-96.91544;;;188.70969;0 / 1;31.1;95.0;4.152;90555;2014-10-24 12:41:25:438
-2.5438;3.6595;8.7855;-2.1905;4.3448;8.5144;-0.3534;-0.6853;0.2711;0.2933;-1.3958;-0.3518;-13.85;-1.48;-38.16;58.95;-26.3;14.43;2.0;61.677;19.519932;-96.91544;;;188.70969;0 / 1;31.1;95.0;4.152;91072;2014-10-24 12:41:25:955
-0.5495;7.0437;6.6499;-0.6237;5.7795;7.898;0.0743;1.2642;-1.2481;0.8881;0.7942;-0.4072;-21.87;-10.12;-31.28;67.07;-32.66;4.89;2.0;52.074;19.519932;-96.91544;;;188.70969;0 / 1;31.1;95.0;4.152;91726;2014-10-24 12:41:26:609
-2.3487;4.9799;7.1263;-1.8309;4.7244;8.3963;-0.5178;0.2556;-1.27;-0.5953;-0.5053;-0.6878;-16.12;-20.45;-28.45;100.75;-33.03;15.21;2.0;54.774;19.519932;-96.91544;;;188.70969;0 / 1;31.1;95.0;4.152;92354;2014-10-24 12:41:27:237
-5.3965;3.7697;8.0768;-3.7374;2.7294;8.6459;-1.6591;1.0403;-0.5691;0.4021;0.4411;-0.2247;-10.18;-19.21;-31.24;120.44;-14.94;19.86;2.0;50.807;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;92892;2014-10-24 12:41:27:775
-2.7078;5.46;8.2361;-2.1277;3.9978;8.6984;-0.5802;1.4622;-0.4623;0.221;-0.9064;0.3848;-12.01;-23.31;-26.44;125.34;-19.76;23.96;2.0;49.058;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;93481;2014-10-24 12:41:28:364
-2.1596;7.3969;5.8694;-2.1352;6.0733;7.3977;-0.0243;1.3236;-1.5283;0.2918;0.3081;0.1256;-15.91;-26.97;-19.9;122.22;-35.69;13.01;2.0;53.972;19.519932;-96.91544;;;188.70969;0 / 0;31.1;95.0;4.152;94033;2014-10-24 12:41:28:916